__id__,constant,createdAt,development,isFavorite,name,options,tagsType
09Q2FEVzWlOBc5AqoypO,,,communities,,Physical disability,,
0K056vFlG4lgFLUxFGQ3,true,,career,,#networking,,
1ftOIFPCg2uPchcfecW0,true,,self,,#confidence,,
20fXkU9RdlTlpfcS5K5D,,,socioeconomic,,All backgrounds,,
2Bhal1Eyn4bfN719dFdM,true,,industry,,#media,,
2Dhp3LeTBZqgTedOOPMT,true,,pronoun,,#ForThem,,
2OKsPtBRoqvFJQEkA9XU,true,,worklife,true,#advice,,
2YMJoKoU41yC7sCleDnd,,,industry,,#Social media,,
2cns8nlBY5ULpSj3yHBV,false,2021-03-16T16:43:54.724Z,perks,,#industry advice,,culture
38I250bSWDUG6sbheu4W,,,industry,,#Heritage,,
3RFE8LOp5gmRFKBnq3Y7,,,age,,21,,
48QfWZVY3tGgz9kyL9Pk,true,,self,,#creativity,,
4Ed3aFDBvrMHL53yYN4Z,,,сommunities,,Neurodiversity,,
4GA9aXfWR7L2e7qxE9sA,true,,,,#audio,,
4QlleWHve0nCgap7LNwH,true,,self,,#empathy,,
5DVAYnqALaoWe9H8w5eL,true,,self,,#mental health,,
5DySR20DRr5d0amV3LBX,false,2021-03-18T22:46:34.125Z,career,,#Society ,,
5HaU8j0qhkr55nMhkjD2,false,2021-02-07T09:04:29.071Z,career,,#production,,
5PSzhQ2e4SC6YgC9Tq19,,,age,,19,,
5TJS5TfdMsileqPdapNE,false,2021-03-16T15:03:49.665Z,Wellbeing,,#undefined,,culture
6Bj2Xtzi0uIWc8ZrTVtY,,,age,,Over 18,,
6Taxs6913hcNH2iB2Bw2,false,2021-03-17T11:47:08.189Z,worklife,,#creativeopportunities,,culture
6uk2bdRBxgB5SfEQgCiD,true,,,,#radio,,
7A2ervoL0MY4OO9n1I23,true,,,,#podcasting,,
7Djqoi7KVNFWqkG5Goy0,false,,industry,,#news,,
7NFcbDXSsKW4OJJboIN8,true,,ethnicity,,#Mixed,,
7P5Hf8CqYKW9Nh1RY5f8,true,,perks,,#unlimited holidays,,
7zcvW4rUaiE9OCqGAf8f,true,,industry,,#marketing,,
8EnwP2QmxphKt3xMydIv,true,2021-02-07T10:29:59.389Z,industry,,#acting,,
8PawTwYxdWzCJem74oS3,false,2021-02-07T10:33:35.570Z,career,,#writing,,
8oVouULyPluxVdnb1DJD,,,experience,,#someone looking to get work,,
92OxqHPOwpUDI765t62h,,,сommunities,,LGBTQIA+,,
9NzSPP9u3pslqzwc4FvH,false,2021-01-20T10:51:39.742Z,perks,,#Expert Tutors,,culture
9PvhMEDyZGUCTpqc91aQ,,,,,Have or had free school meals,,
9Q2h3tBc2SY9R0Rrppfw,true,,training,,#unconscious bias,,
9RIS1UCc8jBeQY9lOpwf,,,communities,,Neurodiversity,,
9Z0KCkg1UndKEeGsGRWF,true,,equality,,#accessibility,,
9n0uRhYXXrZCc6Uc0FaI,true,,,,#E-Sport,,
ASqOgcR8NFWSBTig54V4,false,2021-03-21T17:13:54.086Z,self,,#Music,,
AoY7K4WlLQC0hV2X0YvO,false,2021-03-02T10:59:48.379Z,Training,,##CareerDevelopment,,culture
AqYgiYDBCcvalinRr4PP,false,2021-01-01T13:53:26.419Z,perks,,#Laptop,,culture
Ar0PFRfo2BizErhHzOB1,true,,industry,,#directing,,
B00NlXT3BgZEcteyEBiQ,true,,industry,,#museum,,
BGHOxtT7mL635uaWX7Wd,,,pronoun,,He/Him,,
BSAM73pkE5akPm0aAWEi,true,,industry,,#fashion,,
BddunC7iDoCafkspkpoQ,false,2021-03-16T16:43:48.917Z,perks,,#remote learning,,culture
BqfXt7PgSC559RdiiT2w,,,communities,,Mental health,,
CG68CfUNdPkL8nJFzAih,true,,industry,,#theatre,,
CUWcWrtD4T98OQPuQMSE,false,2021-03-13T12:46:31.197Z,perks,,#adaptable ,,culture
CV02t8BX1lZ1teVZQpdM,true,,industry,,#dance,,
CXml82a20EADyZq4YWWY,true,2021-02-10T12:00:54.932Z,self,,#anxiety,,
Cfm3Qi6fKuYCnkrzNdqz,true,,career,true,#CV's & Portfolios,,
CiqzLSCDmRocXb3YzJdo,true,,,,#Visual Art,,
D1lmqQmbFCGTby8HNHuK,,,industry,,#Visual art,,
D8TZCPwER6lzJV3p1fmA,,,pronoun,,They/Them,,
DJpySi26fSa4NcoMUX8o,false,,industry,,#food & drink,,
DUK2DyQTTnvJXp83Cuuw,,,ethnicity,,"African, Caribbean or Black British",,
ECcuhaDvbapctsnxCbyE,false,2021-03-18T15:20:42.476Z,career,,#founders,,
EZ8pCPYQITDCvtAaLdGg,true,,career,,#portfolio advice,,
EnzIhbSJi60VWwmFjq6F,,,сommunities,,Carer,,
Fsupenr6EtZuhFXCUGAY,true,,career,true,#money & finance,,
FuXsrn6y678PVhrqgTZE,true,,career,,#side hustle,,
G71CaypSWxMSZ83yAKKZ,false,2021-03-16T15:04:46.268Z,Wellbeing,,#Illustration,,culture
G7JC7ai2vlXpZlh5PozG,true,,pronoun,,#ForHim,,
GjC6ilPu74QiVYRvRvgg,true,2021-02-07T16:57:25.949Z,industry,,#videography,,
H9gLcUeM65AkTEjk8IzH,true,,industry,,#music,,
HH7ZuqesVJkUEgyYa9nL,false,2021-03-21T17:13:54.086Z,self,true,#Interviews,,
IG7yzsOdsZcE1IttKMe8,,,industry,,#all creative industries,,
IRFYyl07CsMlQQk7SWLl,true,,wellbeing,,#mental health days,,
IcM5f4EXFDZnfoeHn1HQ,true,,perks,,#branded merch,,
JNNkRh7GpLhmtNLhIBRZ,true,,ethnicity,,#Other ,,
JcM1sqyxbJeyZsvXislN,true,,industry,,#advertising,,
JeWe9J7Wde0FENhxEcW1,true,,career,,#freelancing,,
JkrVJTsFOxAaDeL6kusP,true,,training,,#onboarding,,
K4QFV7V98Xw7wQ7yOzik,true,2020-12-23T22:00:00.000Z,self,,#motivation,,
KTZ2FRZNDwQImteZFmjG,,,сommunities,,Have or had free school meals,,
KoWV4QxXTy0SieQ9LzDH,true,,,,#heritage,,
KzG8Dx2PMack53AtHj1Y,true,,self,,#happiness,,
LcGPPIgAEXLLF8FBVC7E,false,2021-02-07T09:52:22.388Z,career,,#personal brand,,
Ld5Z38GQZHWJJT76TbGF,false,2021-03-04T16:22:34.005Z,perks,,#advice,,culture
Ljk28RD3LQJHXb1OXzz7,,,pronoun,,She/Her,,
LnCw0jhbobNNgU9ndhil,false,,industry,,#e-sport,,
LtF0yJ1Fa99hLPgcrAnm,true,,career,,#apprenticeships,,
LtkTKVFdDOG3JGM7yAR9,true,,perks,,#work phone,,
MAZsSLjZSa8kzLhoJ6nt,false,2021-03-10T16:11:01.517Z,Training,,#skill share,,culture
MOYWL3uFaaYHGQOvQzat,false,2021-02-07T10:30:46.347Z,career,,#branding,,
MTQh4m3sjXmMeStRIk4W,false,2021-01-01T14:38:10.632Z,Wellbeing,,#Mental First Health First Aiders,,culture
MTXvdRDG10kpck997vfx,true,,self,,#productivity,,
MyNQqi1cxSKxDzTFIUD1,true,,industry,,#digital,,
NR1XdCWzTBldRtN07PdY,true,,pronoun,,#ForHer,,
NoUufyQpwT3qGsVQ7eKC,true,,industry,,#arts,,
NweAZ9RUw5ECa0XvkKoF,true,2020-12-23T22:00:00.000Z,training,,#team building,,
OKucTagUEJ5OSftS6DjH,true,,industry,,#VFX,,
ORqkAt5aoZ0R9UzCF93L,false,2021-03-16T15:03:49.293Z,Wellbeing,,#Creativity,,culture
OUEq52AtdSu9HNuLnq0n,false,2021-03-17T00:03:35.845Z,career,,#Sustainability ,,
OWX5xMlENH8zEqL6ZJzI,true,,industry,,#writing,,
OcCxDBVZ3pQt6Bpxz4Af,true,,self,,#self-awareness,,
OzWIBHiSh2UmWvQAQpFd,,,ethnicity,,White or White British,,
PIAq1kX4RW63lJ4jYZn0,,,age,,24,,
PSPwCv5pAPk9kgHAXlbY,,,age,,16,,
QCMHvYz9oUPPPhOsXDek,,,сommunities,,Physical disability,,
Qjqkw3S9M7fyo4sE44kI,,,experience,,#someone looking to explore,,
QppqO2NZRqkZAtXEWXBL,true,,industry,,#entrepreneurship,,
QsRDqtFi6jutZnrMKw5X,false,2021-01-20T10:51:28.585Z,perks,,#Remote Learning,,culture
RCl0PgeYxEJdd7APujgk,false,2021-02-07T10:09:05.291Z,career,,#personal branding,,
RR2f9ImEpBsVoBniqDHb,true,,training,,#soft skills,,
RRPIGD8goCRgLEiCoTsi,,,ethnicity,,Asian or Asian British,,
RS64HjksdhniUorvNXLe,,,pronoun,,LGBTQIA+,,
RiHYhcND610gtAR5PLXK,false,2021-01-20T10:51:17.372Z,perks,,#Student support,,culture
S6BVkq9Z9rSfeAs1rR78,,,communities,,Chronic illness,,
SEy3hMGz2pD3va3CJhf0,true,,,,#UX/UI Design,,
SQoYTQIQEh0KjHyd40lO,false,2021-03-16T16:43:58.197Z,perks,,#industry feedback,,culture
SjDtv9VjoKmpzKZvfXzp,,,age,,23,,
SsXKbblRlvTqShEBH2qd,false,2021-01-01T14:38:23.509Z,Wellbeing,,#Employee Assistance Programmes,,culture
TQP5sTYaSao3hzKyHoqX,true,,industry,,#film,,
TYaWbgKh8ai492LRdp3n,,,age,,18,,
TcuyJ0kp3S32TwTmfemV,true,2021-01-19T11:47:49.038Z,career,,#higher education,,
Tfsft2clh6NQfBzBwVRm,true,,ethnicity,,#White ,,
TwbKLH1maPxUpOMgo7av,true,,industry,,#PR,,
U4qrnyPCHoPtc5XzfR0X,false,2021-03-16T16:44:05.749Z,perks,,#expert tutors,,culture
UJ4Z93ojdP9EDTKovouU,false,2021-02-10T11:59:19.051Z,self,,#activism,,
UK-Creative-Festival,,,company,,UK Creative Festival,"[{""label"":""UK Creative Festival"",""value"":""UK-Creative-Festival""}]",
UTxhhvbPmi6QQfpXv6Vj,false,2021-03-18T15:20:42.475Z,career,,#black,,
UUquRoGQbhXO26Bqs5Te,false,2021-03-17T11:47:00.758Z,worklife,,##creativeopportunities,,culture
Uq7j4jOln0DVzS5VQZIl,true,,industry,,#audio,,
V6tiLf4jn2zmuvkcxB0P,true,,career,,#industry knowledge,,
V9J6aDjeQc7hIePqgsCh,,,socioeconomic,,Only those from lower socio-economic background,,
VHmROHGeI7eM4D0xFT1H,,,age,,20,,
VMxlVcP7SYaxFP1FS4J3,false,2021-03-17T11:47:37.583Z,perks,,#networkingtips,,culture
VOqb19IkbANnLTj1GWms,true,,,,#media,,
VS2ca4vwGXaOZ6khfjff,true,,industry,,#travel,,
Vc9PVatz7TM4XbeMS2as,true,,perks,,#discounts,,
VluuJp7ikBDJvOZkCtMI,true,,industry,,#TV,,
VqsCdV8yAjHIZs46vpgi,true,,career,,#internships,,
VxeP5CwyZNoKYK3hF8eC,true,,industry,,#radio,,
Vy6sKZydj6wJIj9DTETW,true,2020-12-23T22:00:00.000Z,career,true,#networking,,
Vz2iQLrRRxbTZtclovm0,false,2021-03-16T16:43:42.005Z,perks,,#in-house counsellor,,culture
W9pk2vPuCkkZB9Ul7Z9D,false,2021-03-17T12:45:42.446Z,career,,#artistsoflondon,,
WBkWKn33YOy2U9gQ07P0,false,2021-02-10T12:06:30.711Z,self,,#climate change,,
WMLPtNRCGSBbv7bViz1S,true,,equality,,#race,,
Wk1k8kt8tZlALiVeW0Qq,,,age,,22,,
X2dTLDagIIrEBa40pwBL,true,2021-02-07T10:38:15.326Z,industry,,#graphic design,,
XDeiUF1tpazrs6j8nJnt,true,2021-02-07T09:04:59.669Z,industry,,#UX/UI design,,
XYrofvp4aWJUN8q0kqbA,true,,career,true,#mentoring,,
XlTLTv4TpHW6esbUhnNv,false,2021-03-16T15:04:14.417Z,industry,,#Publishing,,culture
YI6XgFxHn8x4LYzkHkIM,true,,equality,,#physicaldisability,,
YPq4cZVxxTcZsH65cHE0,true,,wellbeing,,#inhouse therapist,,
Yfxp8QQJtghr4qQPmkx8,,,age,,16 and under,,
YhXKEpWOaoFeh6vZw5W9,true,,,,#animation,,
Yk6phdz0yBMP0c0rULDx,true,,equality,,#neurodiversity,,
Z6KStHIzr09FkXThSjjb,false,2021-02-07T11:52:05.668Z,career,,#director,,
ZBpKSjEz0oGXA7Ju6Rh1,,,ethnicity,,Other Ethnic Group,,
ZEK8AnBCkOUz60dgcege,false,2021-03-17T11:47:21.371Z,worklife,,#industrytips,,culture
ZEtRdZGb5YmvbtjniiBI,true,,industry,,#photography,,
ZSC7cSm7tgtySwVirSXR,true,,career,,#online courses,,
ZW6fmJJYWahxJ0fXS4zM,false,2021-03-04T16:33:18.236Z,perks,,#In-house councillor,,culture
ZqmWly9vdEbaBk1fXker,true,,ethnicity,,#Asian,,
aWkxXuuibPWdbSvtRJbx,false,2021-01-18T16:21:24.655Z,career,,#portfolio advice,,
ajxlsmbwodNP5FfVPbvf,true,,industry,,#content creation,,
b73oZSvpjqUoHBjj7zOy,false,2021-03-16T14:37:52.986Z,perks,,#learn,,culture
bHsWfyQFTjYI2ItgleWx,false,2021-01-01T19:12:55.818Z,perks,,#Click Me,,culture
bbc-content,,,,,BBC Festival,"[{""label"":""Yes"",""value"":""bbc-content""},{""label"":""No"",""value"":""""}]",
bloZiCkPp97FWIUFqKcI,false,2021-02-07T12:06:04.320Z,career,,#photography,,
bs5frssJMw54bToCeDE4,true,,worklife,,#travel opportunities,,
bu1QkOIorG4fjYpxhc5e,true,2020-12-23T22:00:00.000Z,perks,,#free breakfast,,
buypYIgcB5e4FrJOKEA3,true,,worklife,,#remote working,,
cb70qB5JuW1SeTK7WmbY,,,age,,Under 18,,
d25TFMPGin2nn2HUQ2ZS,true,,industry,,#design,,
dT3QWrs3kjlnEpd3czp1,true,,,,#performing arts,,
dtHf8HC9oZbwuuykzRrE,,,ethnicity,,Mixed or Multiple Ethnic group,,
eTJVhmAyjFVgLM1xobKQ,true,,industry,,#presenting,,
eiZGRnbL1n3ENepzWRvb,false,2021-03-16T16:43:24.634Z,perks,,#In-house counsellor,,culture
etbVDUKJ63EHFcPlbn68,true,,industry,,#visual-arts,,
evEppyXLsrW795Oma9Xj,true,,career,,#portfolio career,,
fJX3J8zh194QnnDD7ut0,false,2021-02-10T12:10:11.891Z,career,,#events,,
fSOltLeu2pojdr6rC9F7,false,2021-02-07T10:33:35.568Z,career,,#art,,
g5n1GEPWYv8JqenX22T2,true,,,,#digital media,,
gBPvSXXYUJ71l28c3GJ1,true,,training,,#technical skills,,
gEODfWliFcVDPzPsaURG,true,,industry,,#gaming,,
gVMyNRPGRSffH1MY3ejr,true,,,,#journalism,,
gfP63ctGSb1ZjF4Ul5VA,false,,equality,,#underprivileged,,
ggclbk2GjvOUbFZUH4ym,true,,industry,,#journalism,,
gmjSxiBG5v0rGUFwRdrZ,,,сommunities,,Chronic illness,,
gvTLKWX76UhDquYF9UuL,true,,industry,,#comedy,,
h6suyGpdgjaieP5AlaOV,,,industry,,#Opportunity,,
hfeNlmx878s2yy6XjFtY,false,,industry,,#sport,,
i05G0HxMm0v9ZbKIaFl9,false,2021-03-16T16:44:11.502Z,perks,,#student support,,culture
ieHxxs2T7J0RTWQyDqBJ,true,,industry,,#culture,,
igXCnhhokWdi5FvqiDha,true,,ethnicity,,#Black,,
ijmSzgigVQcUrhiCmRuE,,,,,,,
iqtWnDQCz1nldxBiLCXy,,,experience,,#someone looking to upskill,,
j4ygTbzQPU5XRjfud5pF,false,2021-01-20T10:01:04.741Z,career,,#side hustle,,
jtwd6Also1z1gnxf7cCR,true,,industry,,#animation,,
jzK4d9DOTUQ9MtubRpFo,true,,self,,#stress,,
kUWGogh2d3fCKPSNfHYs,false,2021-01-01T14:37:59.416Z,Wellbeing,,#Guardians Scheme ,,culture
lUdsQIsHsDPMKAZyjvbk,true,,,,#presenting,,
lcYQflWLIQiQxNxBjgkW,false,,industry,,#engineering,,
ln5K5NNVKjHKJm5NoNf8,false,2021-03-04T16:27:43.375Z,perks,,#Mental Health Awareness,,culture
mVeikPlrGkeqUaNB3RUc,true,,industry,,#craft,,
mzZKi6mwaVEwTeNkpAjb,true,,equality,,#LGBTQIA,,
nHy5ygseyuQtNDUVxn0J,true,,industry,,#podcasting,,
nNAgMvJrxvFx9iCTIYpP,true,,perks,,#office parties,,
nckie1TBwAYwgZtssTWt,false,,industry,,#lifestyle,,
njID4Zd7PpqArqUnCERh,false,2021-02-07T10:33:35.570Z,career,,#publishing,,
o4rMfwsP8UOAjvGwRhgP,true,,equality,,#gender,,
oG0XNbDVHhTqkZGttiXt,false,2021-02-07T09:04:59.669Z,career,,#ui,,
ojcmlhTMc5vT0mK4OBYn,true,,worklife,,#maternity/paternity leave,,
pVsrwu57wc0xQP7aiGvd,false,2021-03-21T17:16:50.026Z,self,,#interview,,
prE9mIaISNAgBU0hSllJ,false,2021-03-17T12:45:42.443Z,career,,#artist,,
rHFYF9GgaJpJrkMLO3RD,true,,worklife,,#flexible working,,
rfG4zhlDhcfjE4DMA6rD,false,2021-02-07T10:32:15.582Z,career,,#directing,,
sS3aP11L68igBoD7f0xe,,,age,,Over 25,,
sTjgDvvZrqI4glTXEezB,false,,industry,,#beauty,,
sehUuVOIEKmsYNpQROHe,true,,equality,,#disability,,
sjtYgAIoHYpV1q8gi9iO,true,,self,,#carer,,
szqvbHXC1odr53r7dJAJ,true,,perks,,#bonuses,,
tR0AtOoH8yfTIikQxnMN,,,communities-old,,Carer,,
tapTpB3cbivfomiKUZ7r,true,,wellbeing,,#fitness classes,,
u6YjM78DnfHgJYoEn6td,true,,industry,,#architecture,,
uI94cFJLSkuZvL06vsl6,true,2020-12-23T22:00:00.000Z,perks,,#dog friendly,,
uoo9FHEqHrUFVGSc2McX,,,ethnicity,,Arab,,
vqgXW8gY1THeiJCQWtsv,true,,perks,,#networking,,
wxvBjYt6r8aXPo51j0nI,,,сommunities,,Mental health,,
x0WOQE0IZSuOTggNB3kE,true,,ethnicity,,#Arab,,
x4kUfoc2TX8rvhptzmi8,false,2021-03-02T10:59:55.924Z,Training,,#CareerDevelopment,,culture
xkAmPOEAk8244rXIXpdb,true,,perks,,#healthcare,,
y9a2gexEx9YC7mZ86Flp,false,2021-01-18T15:54:02.184Z,Wellbeing,,#note,,culture
yGwRU3pJtpjhQ9OA6ACR,false,2021-03-17T12:45:42.446Z,career,,#blackartists,,
yT4ebpw4Z0My5VC3dQgC,false,2021-03-18T15:24:22.734Z,industry,,#startups,,
yYpBd3kiH0UhUJtM0Ymf,,,age,,17,,
ybNc8iJxaoo7TjoJyl71,true,,industry,,#publishing ,,
ycFkZnAiq3HF9DtoZdaA,false,,industry,,#tech,,
ylwmYdjida1FYO5sadr9,true,,,,#dance,,
ypAb8alCEnbvDlS5ZqLu,,,age,,25,,
z7IM8Sydcw9jGDh5oVll,false,2021-02-07T09:04:29.062Z,career,,#tv,,
zSYdFQIngYdrilo2BmiA,false,2021-03-17T12:45:42.446Z,career,,#entrepreneurtips,,
zZSFaHyohmn7flyPhf93,true,,,,#PR,,
zuD6pXxJTSZUzzIyUjcP,false,2021-03-18T15:20:42.476Z,career,,#startup,,
zxLgYbKNdPL4QwJecnIw,true,,industry,,#performing arts,,
